,tweet_id,tweet_text,sentiment,emotion,subject_type,subject,subject_stance
0,1801545880060703142,"So Biden went ahead and signed us on to fund Ukraines war with Russia for 10 years.

TEN YEARS    #FJB",negative,"anger, concern",entity,Biden,nonsupportive
1,1801545880060703142,"So Biden went ahead and signed us on to fund Ukraines war with Russia for 10 years.

TEN YEARS    #FJB",negative,"anger, concern",event,Ukraine war funding,negative
2,1801545796661182572,"📰  #Israel #Palestine   

""Hamas is willing to commit to the 'full and complete ceasefire' touted by Biden - but Washington continues to throw its full support behind an intransigent Tel Aviv""

✍️ Opinion by David Hearst 

Read more ⤵️
https://t.co/SdQnSP10cw",negative,anger,entity,Hamas,supportive
3,1801545796661182572,"📰  #Israel #Palestine   

""Hamas is willing to commit to the 'full and complete ceasefire' touted by Biden - but Washington continues to throw its full support behind an intransigent Tel Aviv""

✍️ Opinion by David Hearst 

Read more ⤵️
https://t.co/SdQnSP10cw",negative,anger,entity,Biden,nonsupportive
4,1801545796661182572,"📰  #Israel #Palestine   

""Hamas is willing to commit to the 'full and complete ceasefire' touted by Biden - but Washington continues to throw its full support behind an intransigent Tel Aviv""

✍️ Opinion by David Hearst 

Read more ⤵️
https://t.co/SdQnSP10cw",negative,anger,event,ceasefire,positive
5,1801545796661182572,"📰  #Israel #Palestine   

""Hamas is willing to commit to the 'full and complete ceasefire' touted by Biden - but Washington continues to throw its full support behind an intransigent Tel Aviv""

✍️ Opinion by David Hearst 

Read more ⤵️
https://t.co/SdQnSP10cw",negative,anger,location,Tel Aviv,negative
6,1801545641115492771,@LadyJayPersists @Habs_1 What an intelligent argument. Except I’m Republican and hate MAGA. Don’t generalize. It doesn’t sound very smart or informative.,negative,"frustration, annoyance",entity,MAGA,nonsupportive
7,1801545444054679875,"If you not bullish on $MAGA I don’t know why you are here in crypto.

https://t.co/LvIbVb61iB

@WhaleFUD 
@MagaHAT_ETH",negative,"anger, distrust",entity,$MAGA,nonsupportive
8,1801545444054679875,"If you not bullish on $MAGA I don’t know why you are here in crypto.

https://t.co/LvIbVb61iB

@WhaleFUD 
@MagaHAT_ETH",negative,"anger, distrust",topic,crypto,neutral
9,1801545444054679875,"If you not bullish on $MAGA I don’t know why you are here in crypto.

https://t.co/LvIbVb61iB

@WhaleFUD 
@MagaHAT_ETH",negative,"anger, distrust",entity,@WhaleFUD,positive
10,1801545444054679875,"If you not bullish on $MAGA I don’t know why you are here in crypto.

https://t.co/LvIbVb61iB

@WhaleFUD 
@MagaHAT_ETH",negative,"anger, distrust",entity,@MagaHAT_ETH,supportive
11,1801545309337600333,"A vote for the Tories-in-name-only is now a wasted vote and splits the conservative electorate. If you want change, you have to vote for it. A vote for @reformparty_uk is a vote for change.",negative,NA,entity,Conservative electorate,nonsupportive
12,1801545170514534417,"Hunter's baby mama Lunden Roberts claims he kept drugs at Joe Biden's home, slept with her friends

https://t.co/wmJ07u5ikz",negative,"anger, concern, distrust",entity,Joe Biden,nonsupportive
13,1801545170514534417,"Hunter's baby mama Lunden Roberts claims he kept drugs at Joe Biden's home, slept with her friends

https://t.co/wmJ07u5ikz",negative,"anger, concern, distrust",entity,Lunden Roberts,supportive
14,1801545170514534417,"Hunter's baby mama Lunden Roberts claims he kept drugs at Joe Biden's home, slept with her friends

https://t.co/wmJ07u5ikz",negative,"anger, concern, distrust",topic,drug allegations against Joe Biden,negative
15,1801545135563456522,"Watch this and remember that Labour and Conservative politicians are facilitating this horror. If you don't want blood on your hands, do not vote for these genocide enablers on July 4th.",negative,"anger, distrust, concern",entity,Labour and Conservative politicians,nonsupportive
16,1801545135563456522,"Watch this and remember that Labour and Conservative politicians are facilitating this horror. If you don't want blood on your hands, do not vote for these genocide enablers on July 4th.",negative,"anger, distrust, concern",topic,genocide enablers,negative
17,1801545078751514882,"This is absolutely shocking and proof the Conservative Party has lost all control of profiteering water firms. 

This is a national scandal and tough action is needed.

https://t.co/LuXOQkaGEL",negative,outrage,entity,Conservative Party,nonsupportive
18,1801545078751514882,"This is absolutely shocking and proof the Conservative Party has lost all control of profiteering water firms. 

This is a national scandal and tough action is needed.

https://t.co/LuXOQkaGEL",negative,outrage,topic,profiteering water firms,negative
19,1801544990549516338,"Our latest @ConHome survey finds party members would support a deal with Reform UK, but don't think the Conservative campaign should prioritise voters defecting to them over those switching to Labour or the Lib Dems | my latest for @ConHome https://t.co/KyRC8ErsII",negative,NA,entity,Conservative campaign,nonsupportive
20,1801544990549516338,"Our latest @ConHome survey finds party members would support a deal with Reform UK, but don't think the Conservative campaign should prioritise voters defecting to them over those switching to Labour or the Lib Dems | my latest for @ConHome https://t.co/KyRC8ErsII",negative,NA,event,deal with Reform UK,negative
21,1801544888057577725,"Biden is delusional.  
Once Biden is out you can wipe your ass with that “agreement,”",negative,"anger, contempt, disdain, disrespect",entity,Joe Biden,nonsupportive
22,1801544833883832718,"NEW:

🇺🇲🇺🇦 Biden will sign a 10-year pact with Ukraine that obligates the US to send weapons

In this way, the globalists assure themselves that Trump will not do something ""stupid"" and stop the delivery of weapons.  

Not that Ukraine will last another 3 years to manage to https://t.co/ncxjgZzlRk",negative,"anger, concern",entity,Trump,supportive
23,1801544833883832718,"NEW:

🇺🇲🇺🇦 Biden will sign a 10-year pact with Ukraine that obligates the US to send weapons

In this way, the globalists assure themselves that Trump will not do something ""stupid"" and stop the delivery of weapons.  

Not that Ukraine will last another 3 years to manage to https://t.co/ncxjgZzlRk",negative,"anger, concern",event,US sending weapons to Ukraine,nonsupportive
24,1801544833883832718,"NEW:

🇺🇲🇺🇦 Biden will sign a 10-year pact with Ukraine that obligates the US to send weapons

In this way, the globalists assure themselves that Trump will not do something ""stupid"" and stop the delivery of weapons.  

Not that Ukraine will last another 3 years to manage to https://t.co/ncxjgZzlRk",negative,"anger, concern",topic,globalists,negative
25,1801544833883832718,"NEW:

🇺🇲🇺🇦 Biden will sign a 10-year pact with Ukraine that obligates the US to send weapons

In this way, the globalists assure themselves that Trump will not do something ""stupid"" and stop the delivery of weapons.  

Not that Ukraine will last another 3 years to manage to https://t.co/ncxjgZzlRk",negative,"anger, concern",entity,Biden,nonsupportive
26,1801544644678894073,"Donald Trump made his grand entrance at the Capitol yesterday, looking like a cross between a snake oil salesman and a corpse. His signature haystack looked like it was styled by a tornado, and his suit was so ill-fitting, like a sack of potatoes. 
But hey, at least he didn't https://t.co/veheLFoYry",negative,anger,entity,Donald Trump,nonsupportive
27,1801544607790154100,"Moment: On the first day of the G7 summit, Italian Prime Minister Giorgia Meloni jokingly scolded US President Biden for letting her wait. https://t.co/4J24fm6ute",neutral,NA,event,G7 summit,neutral
28,1801544585971437666,"HAPPY BIRTHDAY BOSS
🥳🎂🎁🎉
To The Best President Ever
President Donald J. Trump
#HappyBirthdayTrump

VOTE DONALD TRUMP 2024
Make America Great Again
Trump 4 Eva!
#MAGA2024 #VoteTrump2024
#TrumpSaveAmerica #TRUMP4EVA https://t.co/oEQWTvqkLI",positive,"happiness, excitement, appreciation",entity,Donald Trump,supportive
